,0,1,2,3,4,5
0,10.700009999999999,10.40001,10.00001,9.50001,10.10001,9.30001
30,10.700009999999999,10.40001,10.00001,9.508343333333332,10.10001,9.308343333333333
60,10.700009999999999,10.40001,10.00001,9.516676666666665,10.10001,9.316676666666666
90,10.700009999999999,10.40001,10.00001,9.52501,10.10001,9.32501
120,10.700009999999999,10.40001,10.00001,9.533343333333333,10.10001,9.333343333333334
150,10.700009999999999,10.40001,10.00001,9.541676666666666,10.10001,9.341676666666666
180,10.700009999999999,10.40001,10.00001,9.55001,10.10001,9.350010000000001
210,10.700009999999999,10.40001,10.00001,9.558343333333333,10.10001,9.358343333333334
240,10.700009999999999,10.40001,10.00001,9.566676666666666,10.10001,9.366676666666667
270,10.700009999999999,10.40001,10.00001,9.575009999999999,10.10001,9.37501
300,10.700009999999999,10.40001,10.00001,9.583343333333334,10.10001,9.383343333333334
330,10.700009999999999,10.40001,10.00001,9.591676666666666,10.10001,9.391676666666667
360,10.700009999999999,10.40001,10.00001,9.60001,10.10001,9.40001
390,10.700009999999999,10.40001,10.00001,9.608343333333334,10.10001,9.408343333333335
420,10.700009999999999,10.40001,10.00001,9.616676666666667,10.10001,9.416676666666667
450,10.700009999999999,10.40001,10.00001,9.62501,10.10001,9.42501
480,10.700009999999999,10.40001,10.00001,9.633343333333332,10.10001,9.433343333333333
510,10.700009999999999,10.40001,10.00001,9.641676666666665,10.10001,9.441676666666666
540,10.700009999999999,10.40001,10.00001,9.65001,10.10001,9.45001
570,10.700009999999999,10.40001,10.00001,9.658343333333333,10.10001,9.458343333333334
600,10.700009999999999,10.40001,10.00001,9.666676666666666,10.10001,9.466676666666666
630,10.700009999999999,10.40001,10.00001,9.67501,10.10001,9.475010000000001
660,10.700009999999999,10.40001,10.00001,9.683343333333333,10.10001,9.483343333333334
690,10.700009999999999,10.40001,10.00001,9.691676666666666,10.10001,9.491676666666667
720,10.700009999999999,10.40001,10.00001,9.700009999999999,10.10001,9.50001
750,10.700009999999999,10.40001,10.00001,9.708343333333334,10.10001,9.508343333333334
780,10.700009999999999,10.40001,10.00001,9.716676666666666,10.10001,9.516676666666667
810,10.700009999999999,10.40001,10.00001,9.72501,10.10001,9.52501
840,10.700009999999999,10.40001,10.00001,9.733343333333334,10.10001,9.533343333333335
870,10.700009999999999,10.40001,10.00001,9.741676666666667,10.10001,9.541676666666667
900,10.700009999999999,10.40001,10.00001,9.75001,10.10001,9.55001
930,10.700009999999999,10.40001,10.00001,9.758343333333332,10.10001,9.558343333333333
960,10.700009999999999,10.40001,10.00001,9.766676666666665,10.10001,9.566676666666666
990,10.700009999999999,10.40001,10.00001,9.77501,10.10001,9.57501
1020,10.700009999999999,10.40001,10.00001,9.783343333333333,10.10001,9.583343333333334
1050,10.700009999999999,10.40001,10.00001,9.791676666666666,10.10001,9.591676666666666
1080,10.700009999999999,10.40001,10.00001,9.80001,10.10001,9.600010000000001
1110,10.700009999999999,10.40001,10.00001,9.808343333333333,10.10001,9.608343333333334
1140,10.700009999999999,10.40001,10.00001,9.816676666666666,10.10001,9.616676666666667
1170,10.700009999999999,10.40001,10.00001,9.825009999999999,10.10001,9.62501
1200,10.700009999999999,10.40001,10.00001,9.833343333333334,10.10001,9.633343333333334
1230,10.700009999999999,10.40001,10.00001,9.841676666666666,10.10001,9.641676666666667
1260,10.700009999999999,10.40001,10.00001,9.85001,10.10001,9.65001
1290,10.700009999999999,10.40001,10.00001,9.858343333333334,10.10001,9.658343333333335
1320,10.700009999999999,10.40001,10.00001,9.866676666666667,10.10001,9.666676666666667
1350,10.700009999999999,10.40001,10.00001,9.87501,10.10001,9.67501
1380,10.700009999999999,10.40001,10.00001,9.883343333333332,10.10001,9.683343333333333
1410,10.700009999999999,10.40001,10.00001,9.891676666666665,10.10001,9.691676666666666
1440,10.700009999999999,10.40001,10.00001,9.90001,10.10001,9.70001
1470,10.700009999999999,10.40001,10.00001,9.908343333333333,10.10001,9.708343333333334
1500,10.700009999999999,10.40001,10.00001,9.916676666666666,10.10001,9.716676666666666
1530,10.700009999999999,10.40001,10.00001,9.92501,10.10001,9.725010000000001
1560,10.700009999999999,10.40001,10.00001,9.933343333333333,10.10001,9.733343333333334
1590,10.700009999999999,10.40001,10.00001,9.941676666666666,10.10001,9.741676666666667
1620,10.700009999999999,10.40001,10.00001,9.950009999999999,10.10001,9.75001
1650,10.700009999999999,10.40001,10.00001,9.958343333333334,10.10001,9.758343333333334
