,1
0,-0.680759
5,-0.429717
10,0.113316
15,-0.235978
20,-0.485329
25,0.236304
30,-0.221959
35,0.295898
40,-0.250938
45,-0.00219478
50,0.0907987
55,-0.173622
60,0.254848
65,0.595404
70,-0.192744
75,0.00198253
80,0.12762
85,-0.40949
90,0.0146868
95,0.338701
100,-0.0512647
105,0.0290176
110,0.623116
115,0.0434402
120,-0.740111
125,-0.132185
130,-0.0221762
135,0.995
140,0.281601
145,-0.374525
150,0.213476
155,0.306496
160,0.0573727
165,-0.508929
170,-0.635835
175,-0.511743
180,-0.461253
185,-0.428667
190,-0.330147
195,0.198719
200,-0.841831
205,-0.440243
210,-0.690684
215,0.0982208
220,-0.096256
225,-0.324247
230,-0.137073
235,-0.530945
240,0.471157
245,0.210292
250,0.244234
255,-0.488805
260,0.406162
265,0.170168
270,0.466895
275,0.155209
280,-0.39364
285,-0.04419
290,0.761958
295,0.360634
300,-0.715476
305,-0.028931
310,-0.466294
315,0.0760903
320,-0.261806
325,0.595911
330,0.22835
335,0.0194057
340,0.184583
345,0.112514
350,-0.65893
355,-0.261981
360,-0.0257017
365,0.364413
370,0.202365
375,0.161516
380,0.260447
385,0.157403
390,-0.119227
395,-0.0715518
400,-0.14899
405,0.0840248
410,-0.361352
415,-0.0930004
420,-0.189453
425,-0.841164
430,0.553892
435,0.388296
440,0.30166
445,0.383112
450,-0.875733
455,0.0427239
460,0.428336
465,0.800174
470,0.3648
475,0.401662
480,0.373082
485,-0.969321
490,0.0991393
495,-0.0335943
500,-0.0394731
505,0.555499
510,0.107022
515,-0.173142
520,0.155636
525,0.142897
530,0.139687
535,-0.00906185
540,-0.256443
545,-0.0950162
550,-0.129793
555,0.138201
560,0.505396
565,-0.00272354
570,0.303864
575,-0.671397
580,-0.0659019
585,0.001295
590,-0.198144
595,-0.196604
600,0.198499
605,-0.292179
610,0.135937
615,-0.197165
620,0.128228
625,-0.0367883
630,-0.0853478
635,0.413784
640,-0.789078
645,-0.198095
650,-0.0944445
655,-0.170059
660,0.576992
665,-0.27936
670,-0.0337137
675,0.310028
680,0.218353
685,-0.0462509
690,0.23324
695,-0.499178
700,0.25446
705,0.0174551
710,0.447167
715,0.0378381
720,-0.308881
725,0.0443766
730,0.217659
735,0.196269
740,0.322219
745,0.525394
750,0.0934084
755,-0.215661
760,0.176986
765,-0.0791135
770,-0.333389
775,0.316887
780,-0.606226
785,-0.0633341
790,0.380364
795,-0.14535
800,0.0971894
805,-0.301572
810,0.28833
815,0.385438
820,0.218532
825,-0.515445
830,0.347182
835,-0.489116
840,-0.400171
845,0.248505
850,0.270333
855,0.149718
860,0.0194582
865,-0.158463
870,0.593381
875,-0.453745
880,-0.0395037
885,-0.235824
890,0.477903
895,-0.0450793
900,-0.155403
905,-0.0710049
910,0.174208
915,0.0760831
920,0.317198
925,-0.232528
930,-1.33314
935,-0.146053
940,0.476813
945,-0.14246
950,-0.752034
955,-0.662528
960,-0.316885
965,-0.345301
970,0.138739
975,0.355455
980,-0.0706409
985,0.655024
990,0.99782
995,0.0748845
1000,-0.126265
1005,-0.0426361
1010,0.215374
1015,-0.145925
1020,0.12518
1025,0.571486
1030,0.198575
1035,-0.361374
1040,0.884034
1045,-0.112758
1050,0.0712972
1055,0.02839
1060,0.382545
1065,0.22482
1070,-0.536768
1075,-0.60187
1080,0.118191
1085,-0.0427851
1090,-0.206418
1095,0.369434
1100,-0.159018
1105,-0.086523
1110,-0.735839
1115,0.296652
1120,0.0336345
1125,0.233509
1130,0.361793
1135,-0.146589
1140,0.157548
1145,0.407492
1150,0.158848
1155,-0.193535
1160,0.284586
1165,0.671136
1170,-0.173228
1175,-0.0429581
1180,0.354943
1185,-0.216126
1190,0.0718331
1195,-0.0860817
1200,0.0221382
1205,0.545261
1210,-0.566679
1215,-0.32796
1220,0.83197
1225,0.239462
1230,-0.866749
1235,0.723995
1240,0.7164
1245,-0.211863
1250,0.356389
1255,-0.519618
1260,-0.419243
1265,0.182289
1270,0.15643
1275,0.0920381
1280,-0.840036
1285,-0.556035
1290,0.454147
1295,0.133819
1300,0.804224
1305,-0.0265645
1310,0.0703046
1315,0.328251
1320,0.0975469
1325,0.163278
1330,-5.54E-01
1335,0.0804956
1340,0.01094
1345,-0.146636
1350,0.236238
1355,-0.218463
1360,-0.334842
1365,0.25161
1370,-0.170352
1375,-0.134071
1380,0.668735
1385,0.307612
1390,0.219337
1395,0.0331881
1400,0.118853
1405,-0.287612
1410,0.570295
1415,0.00861102
1420,-0.536361
1425,-0.322829
1430,-0.207565
1435,-0.605492
1440,0.0540263
1445,0.423273
1450,-0.328122
1455,-0.592673
1460,0.714218
1465,-0.67567
1470,-0.203611
1475,0.103457
1480,0.260847
1485,-0.767721
1490,-0.176948
1495,0.689126
1500,0.184312
1505,-0.141836
1510,-0.127202
1515,0.417049
1520,-0.506778
1525,0.974513
1530,0.161404
1535,-0.220584
1540,-0.113159
1545,-0.108103
1550,-0.151557
1555,0.14473
1560,0.156328
1565,-0.55757
1570,-0.225122
1575,0.239102
1580,-0.445932
1585,-0.016909
1590,0.14891
1595,0.695989
1600,-0.454632
1605,0.552437
1610,0.297118
1615,-0.279273
1620,0.389824
1625,0.669136
1630,-0.487345
1635,-0.224972
1640,-0.714496
1645,0.23082
1650,-0.265827
1655,0.00974741
1660,-0.39516
1665,0.240975
1670,-0.177504
1675,-0.0299835
1680,-0.512197
1685,-0.229204
1690,0.819522
1695,-0.210271
1700,0.292141
1705,0.171326
1710,-0.484199
1715,-0.296491
1720,-0.0307394
1725,0.0958003
1730,-0.843931
1735,0.261863
1740,0.429459
1745,0.422388
1750,-0.713722
1755,-0.760357
1760,-0.326481
1765,0.156218
1770,0.722013
1775,-0.284937
1780,-0.244989
1785,-0.0514689
1790,0.84898
1795,0.867539
1800,0.37526
1805,0.451879
