name,id,sj_0,sj_1,dx,shape,g1,g2,g3,g4,in_offset,out_offset,n,C,A_c,Q_0,ctrl,A_s,h_0,C_uk,C_dk,dx_uk,dx_dk,internal_links_k
0,0,15,4,339.4,circular,0.3048,0,0,0,0,0,0.01,0,0,0,FALSE,1,0.00E+00,0.1,0.1,0.1,0.1,70
1,1,18,3,56.3,circular,0.3048,0,0,0,0,0,0.01,0,0,0,FALSE,1,0.00E+00,0.1,0.1,0.1,0.1,70
2,2,19,5,283.8,circular,0.3048,0,0,0,0,0,0.01,0,0,0,FALSE,1,0.00E+00,0.1,0.1,0.1,0.1,70
3,3,20,7,55.6,circular,0.3048,0,0,0,0,0,0.01,0,0,0,FALSE,1,0.00E+00,0.1,0.1,0.1,0.1,70
4,4,21,6,243,circular,0.3048,0,0,0,0,0,0.01,0,0,0,FALSE,1,0.00E+00,0.1,0.1,0.1,0.1,70
5,5,12,10,81.9,circular,0.3048,0,0,0,0,0,0.01,0,0,0,FALSE,1,0.00E+00,0.1,0.1,0.1,0.1,70
6,6,13,8,190.2,circular,0.3048,0,0,0,0,0,0.01,0,0,0,FALSE,1,0.00E+00,0.1,0.1,0.1,0.1,70
7,7,14,2,362,circular,0.3048,0,0,0,0,0,0.01,0,0,0,FALSE,1,0.00E+00,0.1,0.1,0.1,0.1,70
8,8,17,8,42.9,circular,0.42672,0,0,0,0,0,0.01,0,0,0,FALSE,1,0.00E+00,0.1,0.1,0.1,0.1,70
9,9,16,3,193.5,circular,1.9812,0,0,0,0,0,0.013,0,0,0,FALSE,1,0.00E+00,0.1,0.1,0.1,0.1,70
10,10,11,22,50,circular,3,0,0,0,0,0,0.01,0,0,0,FALSE,1,0.00E+00,0.1,0.1,0.1,0.1,70
